40,140,255
41,138,255
41,138,255
43,136,255
46,134,255
46,134,255
49,132,255
49,132,255
53,131,255
53,131,255
57,130,255
57,130,255
62,129,255
62,129,255
67,128,255
67,128,255
72,128,255
77,128,255
77,128,255
83,129,255
83,129,255
89,129,255
89,129,255
94,130,255
94,130,255
100,131,255
100,131,255
105,132,255
111,134,255
111,134,255
116,136,255
116,136,255
122,137,255
122,137,255
127,139,255
127,139,255
132,141,255
132,141,255
137,143,255
137,143,255
142,145,255
147,147,255
147,147,255
152,150,255
152,150,255
157,152,255
157,152,255
161,154,255
161,154,255
166,156,255
166,156,255
170,159,255
174,161,255
174,161,255
179,163,255
179,163,255
183,165,255
183,165,255
187,168,255
187,168,255
191,170,255
191,170,255
196,172,255
196,172,255
200,174,255
204,177,255
204,177,255
208,179,255
208,179,255
212,181,255
212,181,255
216,183,255
216,183,255
219,184,255
219,184,255
223,186,255
227,188,255
227,188,255
231,189,253
231,189,253
234,190,252
234,190,252
238,191,250
238,191,250
241,191,247
241,191,247
244,191,245
247,191,242
247,191,242
250,190,238
250,190,238
252,189,234
252,189,234
255,188,231
255,188,231
255,187,226
255,187,226
255,185,222
255,185,222
255,183,217
255,180,212
255,180,212
255,178,207
255,178,207
255,175,202
255,175,202
255,172,197
255,172,197
255,169,191
255,169,191
255,165,186
255,162,180
255,162,180
255,158,175
255,158,175
255,155,169
255,155,169
255,151,164
255,151,164
255,148,158
255,148,158
255,144,153
255,144,153
255,140,147
255,136,142
255,136,142
255,133,137
255,133,137
255,129,131
255,129,131
255,125,126
255,125,126
255,121,121
255,121,121
255,117,115
255,113,110
255,113,110
255,109,105
255,109,105
255,105,100
255,105,100
255,101,94
255,101,94
255,97,89
255,97,89
255,92,84
255,92,84
255,88,79
255,84,74
255,84,74
255,80,69
255,80,69
254,76,65
254,76,65
253,72,60
253,72,60
252,68,56
252,68,56
251,65,51
250,61,47
250,61,47
249,59,43
249,59,43
248,56,39
248,56,39
248,55,36
248,55,36
247,54,32
247,54,32
247,54,29
247,55,26
247,55,26
246,56,23
246,56,23
246,58,21
246,58,21
246,61,18
246,61,18
247,64,16
247,64,16
247,68,14
247,68,14
247,72,12
248,76,10
248,76,10
248,80,8
248,80,8
248,85,7
248,85,7
249,89,6
249,89,6
249,94,5
249,94,5
250,98,4
251,103,3
251,103,3
251,107,2
251,107,2
252,112,2
252,112,2
252,116,1
252,116,1
253,120,1
253,120,1
253,125,0
253,125,0
254,129,0
254,133,0
254,133,0
254,137,0
254,137,0
255,141,0
255,141,0
255,145,0
255,145,0
255,149,0
255,149,0
255,153,0
255,157,0
255,157,0
255,161,0
255,161,0
255,165,0
255,165,0
255,168,0
255,168,0
255,172,0
255,172,0
255,176,0
255,176,0
255,179,0
255,183,0
255,183,0
255,186,0
255,186,0
255,189,0
255,189,0
254,193,0
254,193,0
253,195,0
253,195,0
252,198,0
251,201,0
251,201,0
249,203,0
249,203,0
247,205,0
247,205,0
245,206,0
245,206,0
242,208,0
242,208,0
239,208,0
239,208,0
236,209,0
233,209,0
