KEYWORD,COMMENT
CEBCONV1,P30V DC-DC converter output (Analog 8)
CEBCONV2,P15V DC-DC converter output (Analog 9)
CEBCONV3,P5V DC-DC converter output (Analog 10)
BIASVREF,Bias setting reference (Analog 11)
CEBGND2,Ground (Analog 15)
CEBSEDAC,Single-bit EDAC
CEBMEDAC,Multi-bit EDAC
PFWSTAT,"Current PFW Status (0 - no error, else error)"
STEPCALC,Calculated step (0-1199)
CMDSTEPS,Commanded number of steps (1-1199)
HOMEOVRD,HOME Position OVERRIDE
POSCURR,"Current position (1-5, 0 - manual stepping)"
POSCMD,"Commanded position (1-5, 0 - manual stepping)"
POSRAW,Resolver position - raw resolver counts (0-65000)
POSRAW2,Resolver position - error correction applied (0-65000)
READCNT,Accumulative # of resolver reads (resets on boot)
LMNSTEP,Number of steps on last move (1-1199)
LMTIME,Current move execution time
LTSTEP,Lifetime accumulative number of steps taken
LTTIME,Lifetime accumulative execution time
FSMSTAT,Controller FSM State
READSTAT,READ Sub-FSM State
MOVSTAT,MOVE Sub-FSM State
HOMESTAT,HOME Sub-FSM State
HOMEPOS,Home Position (1-5)
RESSEL,Resolver Select
RESTOLH,Resolver Tolerance
RESTOLC,Resolver Tolerance
STEPSEL,Stepper Motor Select
STEPDLY,Stepper Motor Rate Delay
STEPRATE,Stepper Motor Rate
SHORTMV,Short Move(1-4 steps) Settling time before reading resolver
LONGMV,Long Move(5-1199 steps) Setting time before reading resolver
PFWOFF1,Primary Step Offset 1
PFWOFF2,Primary Step Offset 2
PFWOFF3,Primary Step Offset 3
PFWOFF4,Primary Step Offset 4
PFWOFF5,Primary Step Offset 5
RPFWOFF1,Redundant Step Offset 1
RPFWOFF2,Redundant Step Offset 2
RPFWOFF3,Redundant Step Offset 3
RPFWOFF4,Redundant Step Offset 4
RPFWOFF5,Redundant Step Offset 5
PFWPOS1,Primary Resolver Position 1
PFWPOS2,Primary Resolver Position 2
PFWPOS3,Primary Resolver Position 3
PFWPOS4,Primary Resolver Position 4
PFWPOS5,Primary Resolver Position 5
RPFWPOS1,Redundant Resolver Position 1
RPFWPOS2,Redundant Resolver Position 2
RPFWPOS3,Redundant Resolver Position 3
RPFWPOS4,Redundant Resolver Position 4
RPFWPOS5,Redundant Resolver Position 5
LED1STAT,LED1 Activation State
LEDPLSN,LED Number of Pulses
LED2STAT,LED2 Activation State
LEDPLSD,LED Pulse Delay
LEDPLSW,LED Pulse Width
LED1CURR,LED1 Accumulated Current for pulse
LED2CURR,LED2 Accumulated Current for pulse
LEDCNT,LED Sample Count
PLSSEC1,Pulse Train start TAI Second
PLSUSEC1,Pulse Train start TAI MIcroseconds-in-Seconds
PLSSEC2,Pulse Train end TAI Second
PLSUSEC2,Pulse Train end TAI MIcroseconds-in-Seconds
CHECKSUM,
DATASUM,0
HISTORY,Records of processing from pipeline
